English,French
Yes,Oui
No,Non
Maybe,Peut-être
"Of course","Bien sûr"
"My name is","Mon nom est"
"What is your name?","Quel est ton nom?"
"I am 20 years old.","J'ai 20 ans."
"I come from…","Je viens de…"
"Good morning",Bonjour
"Good afternoon","Bon après-midi"
"Good evening",Bonsoir
"How are you?","Comment ca va?"
"Thank you!",Merci!
"Thank you very much!","Merci beaucoup!"
"You’re welcome!","De rien!"
Please,"S'il te plaît"
"Excuse me!",Excusez-moi!
Sorry!,Désolé!
What?,Quelle?
Who?,Qui?
When?,Lorsque?
Where?,Où?
Why?,Pourquoi?
Which?,Qui?
How?,Comment?
"What time is it?","Quelle heure est-il?"
"Where are you from?","D'où viens-tu?"
"Where do you live?","Où habites-tu?"
"Can you help me?","Pouvez-vous m'aider?"
"Can I help you?","Puis-je vous aider?"
"How much does it cost?","Combien ça coûte?"
"Do you understand?","Comprenez vous?"
"Can you say that again?","Peux-tu répéter cela?"
